GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (1583)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
neurofilament bundle assembly (GO:0033693)	3	3	.23	+	13.00	4.54E-04	3.68E-02
nitric oxide transport (GO:0030185)	4	4	.31	+	13.00	3.49E-05	5.20E-03
negative regulation of plasminogen activation (GO:0010757)	7	6	.54	+	11.14	1.34E-06	3.96E-04
vitamin E metabolic process (GO:0042360)	6	4	.46	+	8.67	4.61E-04	3.70E-02
intermediate filament bundle assembly (GO:0045110)	8	5	.62	+	8.13	1.23E-04	1.38E-02
regulation of glomerular filtration (GO:0003093)	11	6	.85	+	7.09	6.76E-05	8.75E-03
renal system process involved in regulation of blood volume (GO:0001977)	16	8	1.23	+	6.50	8.84E-06	1.95E-03
negative regulation of fibrinolysis (GO:0051918)	12	6	.92	+	6.50	1.26E-04	1.38E-02
bleb assembly (GO:0032060)	10	5	.77	+	6.50	4.86E-04	3.83E-02
regulation of plasminogen activation (GO:0010755)	18	9	1.38	+	6.50	2.37E-06	6.46E-04
peptide antigen assembly with MHC class II protein complex (GO:0002503)	16	7	1.23	+	5.69	9.67E-05	1.17E-02
MHC class II protein complex assembly (GO:0002399)	16	7	1.23	+	5.69	9.67E-05	1.16E-02
peptide antigen assembly with MHC protein complex (GO:0002501)	21	9	1.62	+	5.57	1.16E-05	2.40E-03
MHC protein complex assembly (GO:0002396)	21	9	1.62	+	5.57	1.16E-05	2.37E-03
negative regulation of protein processing (GO:0010955)	22	9	1.69	+	5.32	1.82E-05	3.17E-03
fat-soluble vitamin catabolic process (GO:0042363)	15	6	1.15	+	5.20	5.60E-04	4.15E-02
regulation of renal system process (GO:0098801)	24	9	1.85	+	4.88	4.16E-05	6.02E-03
negative regulation of protein maturation (GO:1903318)	24	9	1.85	+	4.88	4.16E-05	5.96E-03
glomerulus vasculature development (GO:0072012)	22	8	1.69	+	4.73	1.45E-04	1.51E-02
negative regulation of natural killer cell mediated cytotoxicity (GO:0045953)	25	9	1.92	+	4.68	6.06E-05	8.06E-03
renal system process involved in regulation of systemic arterial blood pressure (GO:0003071)	28	10	2.15	+	4.64	2.55E-05	4.14E-03
negative regulation of chemokine production (GO:0032682)	23	8	1.77	+	4.52	2.07E-04	2.03E-02
negative regulation of natural killer cell mediated immunity (GO:0002716)	26	9	2.00	+	4.50	8.64E-05	1.06E-02
kidney vasculature development (GO:0061440)	24	8	1.85	+	4.33	2.89E-04	2.65E-02
renal system vasculature development (GO:0061437)	24	8	1.85	+	4.33	2.89E-04	2.64E-02
positive regulation of fibroblast proliferation (GO:0048146)	56	18	4.31	+	4.18	1.01E-07	5.99E-05
negative regulation of SMAD protein signal transduction (GO:0060392)	25	8	1.92	+	4.16	3.97E-04	3.33E-02
isoprenoid biosynthetic process (GO:0008299)	29	9	2.23	+	4.03	2.24E-04	2.19E-02
positive regulation of hemostasis (GO:1900048)	26	8	2.00	+	4.00	5.35E-04	4.05E-02
positive regulation of blood coagulation (GO:0030194)	26	8	2.00	+	4.00	5.35E-04	4.03E-02
positive regulation of coagulation (GO:0050820)	30	9	2.31	+	3.90	2.99E-04	2.70E-02
positive regulation of myeloid leukocyte cytokine production involved in immune response (GO:0061081)	34	10	2.62	+	3.82	1.66E-04	1.68E-02
negative regulation of leukocyte mediated cytotoxicity (GO:0001911)	31	9	2.38	+	3.77	3.92E-04	3.33E-02
nitric oxide metabolic process (GO:0046209)	31	9	2.38	+	3.77	3.92E-04	3.31E-02
zymogen activation (GO:0031638)	38	11	2.92	+	3.76	9.27E-05	1.13E-02
fibroblast proliferation (GO:0048144)	42	12	3.23	+	3.71	5.17E-05	7.06E-03
negative regulation of blood coagulation (GO:0030195)	46	13	3.54	+	3.67	2.88E-05	4.52E-03
detection of mechanical stimulus involved in sensory perception (GO:0050974)	39	11	3.00	+	3.67	1.20E-04	1.35E-02
negative regulation of hemostasis (GO:1900047)	47	13	3.62	+	3.60	3.70E-05	5.41E-03
reactive nitrogen species metabolic process (GO:2001057)	33	9	2.54	+	3.55	6.52E-04	4.63E-02
regulation of collagen biosynthetic process (GO:0032965)	37	10	2.85	+	3.51	3.58E-04	3.12E-02
negative regulation of coagulation (GO:0050819)	49	13	3.77	+	3.45	5.98E-05	8.02E-03
regulation of collagen metabolic process (GO:0010712)	42	11	3.23	+	3.40	2.48E-04	2.34E-02
regulation of hemostasis (GO:1900046)	70	18	5.38	+	3.34	3.93E-06	9.99E-04
regulation of blood coagulation (GO:0030193)	68	17	5.23	+	3.25	1.09E-05	2.36E-03
regulation of coagulation (GO:0050818)	75	18	5.77	+	3.12	1.12E-05	2.39E-03
positive regulation of response to wounding (GO:1903036)	71	17	5.46	+	3.11	2.01E-05	3.38E-03
positive regulation of wound healing (GO:0090303)	63	15	4.85	+	3.10	6.55E-05	8.62E-03
antigen processing and presentation of exogenous antigen (GO:0019884)	52	12	4.00	+	3.00	4.70E-04	3.75E-02
detection of mechanical stimulus (GO:0050982)	58	13	4.46	+	2.91	3.75E-04	3.22E-02
negative regulation of wound healing (GO:0061045)	67	15	5.15	+	2.91	1.38E-04	1.48E-02
regulation of natural killer cell mediated cytotoxicity (GO:0042269)	54	12	4.15	+	2.89	6.77E-04	4.76E-02
regulation of fibroblast proliferation (GO:0048145)	92	20	7.08	+	2.83	1.81E-05	3.22E-03
